Arabic ar
Korean ko
Basque eu
Latvian lv
Bengali bn
Lithuanian lt
Bosnian bs
Malay ms
Bulgarian bg
Maltese mt
Catalan ca
Nepali ne
Chinese Simplified zh
Chinese Traditional zh-TW
Croatian hr
Norwegian Bokmål nb
Czech cs
Polish pl
Danish da
Portuguese pt
Dutch nl
Romanian ro
English en
Russian ru
Estonian et
Serbian sr
Finnish fi
Sinhala si
French fr
Slovak sk
German de
Slovenian sl
Greek el
Spanish es
Gujarati gu
Swedish sv
Hebrew he
Tamil ta
Hindi hi
Telugu te
Hungarian hu
Thai th
Indonesian id
Urdu ur
Italian it
Vietnamese vi
Japanese ja
Welsh cy
